Cognitive Distortion,Generative.Methods,Related Sentence,Generative.Model
해야 한다' 진술,일반,"[여자/17세]  
---  
가끔 엄마의 화가 오면 나를 향한 원망이 날뛰듯 쏟아져요. ""왜 널 낳았을까""라는 말은 매번 가슴을 찌릅니다. 누군가 나를 사랑해줄 거라 믿고 싶은데, 나 자신조차 싫어져요.",GPT
해야 한다' 진술,일반,"[여자/14]  
---  
방과 후 도서관에서 공부하려 해도, 책을 펼치면 집중이 안 돼. 한 시간 후에도 다 읽지 못한 페이지가 그대로인데, 나만 이렇게 되는 건 아닌지 불안해. 다른 친구들은 다 잘하는 것 같아.",GPT
해야 한다' 진술,추가,"[여자/16세]  
---  
친구들이 나를 싫어하는 것 같아. 기분이 나쁘고 내가 항상 더 잘해야 한다고 생각해. 수업에서 발표할 때도 어색했는데, 모두 나를 비웃을까 두려워. 이젠 그들이 그럴 것 같다.",GPT
해야 한다' 진술,추가,"[여자/16세]  
---  
시험 준비가 부족한 것 같아. 나는 항상 더 잘해야 해. 친구들은 다 공부 잘하는데, 나는 이 정도도 안 되면 완전히 실패한 것 같아. 이렇게 생각하면 아무것도 할 엄두가 안 나.",GPT
해야 한다' 진술,일반,"[남자/17세]
---
방과후, 숙제해야지, 해야지... 마음만 먹고 책상에 앉아 있지만 펜은 움직이지 않는다.  해야 할 일 목록만 늘어간다.  게임도, 친구 만나는 것도, 아무것도 하고 싶지 않다.  그냥... 누워만 있고 싶다.  내일도 해야 할 일이 산더미일 텐데.
",GEMINI
해야 한다' 진술,추가,"[여자/17]  
---  
그 애와의 관계가 뭔가 특별해야 한다고 생각해요. 그런데 그가 다른 친구에게 관심이 생겼다니... 내가 이미 상처받았는데, 이런 상황은 정말 피해야 했어야 했어요. 어떻게 해야 할까요?",GPT
해야 한다' 진술,추가,"[여자/17세]
---
우리는 공부에 집중해야 하지만, 서로를 보고 싶어서 견딜 수 없어. 하루에 꼭 연락을 취해야 하고, 자주 만나야 한다. 이렇게 해야만 우리 관계가 유지될 것이다. 하지만 이렇게 하면 공부에 방해가 되어 스트레스만 받을 것 같아.",Claude
해야 한다' 진술,추가,"[여자/14]
---
용돈 7만 원으로는 절대 안 된다.  화장품도 사야 하고, 옷도 사야 하고, 학원비도 내야 한다.  모자란 돈은 어떻게 구해야 할까?  항상 부족하고, 나는 왜 이렇게 돈이 없을까.  더 잘해야만 한다.  더 열심히 해야만 한다.  그래야 충분한 돈을 벌 수 있다.
",Gemini
해야 한다' 진술,추가,"[여자/15]  
---  
늦게 자지 않으려면 당연히 효율적으로 해야 해. 하지만 피곤한 만큼 아무것도 제대로 못하는 상황이 반복돼. 모든 친구들은 열심히 하는데, 나는 계속 나태한 사람처럼 느껴져서 더 힘들어.",GPT
해야 한다' 진술,추가,"[여자/14세]
---
새 친구 수진이랑 잘 지내야 한다는 생각에 스트레스 받아.  소영이랑은 예전처럼 못 놀고, 수진이에게 잘 보이려 노력해야만 해.  내가 먼저 다가가고,  계속 신경 써야 해.  안 그러면  친구를 잃을까 봐 두려워.  모두에게 인정받아야만 하는데, 힘들어.
",Gemini
해야 한다' 진술,추가,"[여자/17세]
---
부모님께서 제게 엄격한 규칙을 지켜야 한다고 말씀하시지만, 제 친구들처럼 자유로이 움직일 수 없어 늘 답답해요. 나도 부모님의 기대에 잘 부응해야 한다고 생각하지만, 때로는 숨 쉴 공간이 필요합니다.",Claude
해야 한다' 진술,추가,"[여자/16세]  
---  
친구들과 다 같이 웃고 있어야 하는데, 나만 아무 감정도 안 느껴져요. 매일매일 다들 잘 지내야 한다고 생각하면서, 나는 점점 외롭게 느껴지고 너무 죄책감 들어서 미치겠어요.",GPT
해야 한다' 진술,추가,"[여자/15세]
---
나는 공부를 열심히 해야 합니다. 성적이 좋지 않다면 나는 실패자가 될 거예요. 친구들도 모두 우수한 성적을 받고 있는데, 나만 열심히 하지 않으면 안 됩니다. 내가 열심히 노력하지 않으면, 부모님께 실망을 끼칠 것 같아 걱정입니다.",Claude
해야 한다' 진술,추가,"[여자/18세]  
---  
주변 친구들은 학교 생활을 즐기는데, 나는 자퇴 후 공부하는 것조차 힘들어. 항상 생산적이어야 하고 아무것도 안 하면 게으르다는 생각에 괴로워. 이런 나를 어떻게 해야 할까?",GPT
해야 한다' 진술,추가,"[여자/17세]  
---  
대학교에 진학해야 하는 것 같아 긴장된다. 그런데 스펙이 부족한 것 같아서 어떤 대외활동도 해야 할까 고민 중이야. 성공해야 한다고 생각하고 나 스스로에게 압박이 너무 심해.",GPT
해야 한다' 진술,추가,"[여자/16세]  
---  
내가 그에게 마음이 생겼어야 했는데, 진작에 그런 기분이 아니었던 것 같아. 지금이라도 솔직하게 말해야 할까? 만약 상처를 주면 안 될 텐데, 나는 정말 잘해야 해.",GPT
해야 한다' 진술,추가,"[여자/17세]
---
수학 시험을 망쳤다.  항상 잘해야 한다는 압박에 시달렸다.  열심히 했는데 결과가 좋지 않으니,  내가 부족한 사람인가 하는 생각에 자괴감이 든다.  모두가 나를 실망시켰을 거라고 생각하니 더 괴롭다.  나는 완벽해야 한다고 생각했는데,  이젠 아무것도 할 수 없을 것 같다.
",Gemini
해야 한다' 진술,추가,"[여자/17세]
---
엄마는 내가 망가뜨린 물건 값을 내야 한다고 소리쳤다.  내 잘못이지만, 사과 대신 화만 내는 엄마 모습에 숨이 막혔다.  나는 착한 딸이어야 한다는 압박감에 괴로웠다.  내 잘못을 인정해도 엄마는 변하지 않는다.  이젠 아무것도 하기 싫다.
",Gemini
해야 한다' 진술,추가,"[여자/17세]  
---  
내일 시험이 있는데 준비를 못 했어. 나는 항상 만점을 받아야 해. 이런 상황에서는 진짜 실패자 같아. 다들 잘하는데 나만 떨어지면 어떻게 하지? 정말 걱정돼.",GPT
해야 한다' 진술,일반,"[여자/17세]
---
학교생활이 정말 힘들어요. 매일 스트레스에 시달리고 몸도 점점 나빠지고 있어요. 휴학이라도 해야 할 것 같지만, 절차가 너무 복잡해서 답답하네요. 1년만이라도 휴식이 필요한데 방법이 없어 보여요.",CLAUDE
해야 한다' 진술,추가,"[여자/16세]
---
보통 방학에는 준비없이 시간만 보내서는 안 된다. 국영수 수업도 들어야 하고, 그 외에도 개인적으로 더 노력해야 한다. 나는 실패할 수 없어, 완벽해야 한다는 압박감에 휩싸여 있다.",Claude
해야 한다' 진술,일반,"[여자/17세]
---
요즘 시험공부를 해야 한다고 생각하지만, 계속 유튜브만 보게 되어 공부에 전혀 집중할 수 없어요. 이렇게 해서는 안 된다는 걸 알겠지만, 그만하고 싶은 마음이 너무 커서 계속 유혹에 빠져버리네요.",CLAUDE
해야 한다' 진술,추가,"[여자/15세]
---
학교에선 공부를 열심히 해야 하고, 집에서는 가족들과 잘 지내야 한다. 하지만 내가 다 할 수는 없어. 친구들과 약속도 지켜야 하는데, 친구가 갑자기 취소하다니 너무 힘들어.",Claude
해야 한다' 진술,추가,"[여자/16]  
---  
시험 준비가 필요하지만, 자꾸만 피곤하고 집중이 안 돼. 제대로 공부해야 하는데 의지가 사라져 가는 느낌이야. 그래도 시간은 계속 가고, 나는 여전히 할 수 없고, 정말 나 자신이 싫어져.",GPT
해야 한다' 진술,추가,"[남자/14]
---
고백해야 한다.  방학식 전에,  꼭 해야만 한다.  망하면 인생 망친 거고,  안 하면 후회할 것 같다.  해야 한다.  그녀에게 잘 보여야 한다.  내가 잘해야 한다.  그녀가 날 좋아하게 만들어야 한다.  실패하면 안 된다.
",Gemini
해야 한다' 진술,추가,"[여자/16세]
---
코로나 검사 후에는 다른 가족들과 접촉하면 안 된다. 마스크를 벗어서는 안 되고, 밥도 혼자 먹어야 한다. 지켜야 할 규칙을 정확히 알아야 해. 실수해서는 안 된다.",Claude
해야 한다' 진술,일반,"[여자/15세]
---
학급 회장으로 모범을 보여야 하는데, 수업에 집중하지 못하고 잠만 자. 가정형편이 좋지 않아 늘 미안한 마음뿐이지만, 앞으로 어떡해야 할지 모르겠어. 정말 이러면 안 되는데, 때로는 세상에 지쳐 포기하고 싶다.",CLAUDE
해야 한다' 진술,추가,"[여자/17세]
---
죽고 싶다는 생각이 자꾸 들어야 해. 완벽해야 하는데 내가 그렇지 않으니 실패한 사람이 되어야 해. 사람들이 나를 어떻게 생각할지 걱정되어 아무것도 하기 싫어.",Claude
해야 한다' 진술,일반,"[여자/17]
---
수업 중, 선생님의 꾸중에 몸이 굳었다.  내가 뭘 잘못했을까,  분명히 잘못한 건 없는데…  괜히  내 탓인 것 같고,  모두가 나를 싫어하는 것 같다는 생각에 숨이 막혔다.  아무것도 할 수 없다는 절망감에  온 몸이 떨렸다.  나는  꼭  이렇게 망쳐야만 하는 걸까?
",GEMINI
해야 한다' 진술,추가,"[여자/14]
---
나는 매일 영어 학원 숙제를 끝내야 한다.  시간이 부족해 잠도 줄여야 하고,  결과가 좋지 않으면 나는 실패자라고 느껴진다.  모든 걸 잘해야 한다는 압박감에 힘들다.  그만두고 싶지만, 좋은 학원이라 그럴 수 없다.
",Gemini
해야 한다' 진술,일반,"[여자/15세]  
---  
친해지고 싶은데, ""안녕하세요!""라고 인사하면 부담스러울까? 그전에 한번 다가가서 대화하고 싶어도, 자기를 좋아한다고 착각할까 걱정돼. 어떻게 말을 걸어야 할지 모르겠어.",GPT
해야 한다' 진술,일반,"[남자/15세]
---
웬일인지 제가 하는 모든 노력이 헛되게 느껴져요. 부모님과 싸워서 가출했다가 실패했고, 자살까지 시도했지만 아무런 변화도 없네요. 부모님은 제가 싫어하는 고등학교에 보내려 하시고, 예체능도 포기해야 해요. 이렇게 힘들어도 아무도 나를 이해해주지 않아요.",CLAUDE
해야 한다' 진술,추가,"[여자/16세]  
---  
친구들은 항상 즐거워야 한다고 생각해. 나는 가끔 슬프고, 그런 기분으로 있으면 내가 잘하지 못하는 거라고 자책해. 나도 웃고 싶지만, 그렇게 느끼면 안 되는 것 같아.",GPT
해야 한다' 진술,추가,"[여자/17세]  
---
수업에서 제대로 발표를 못 했고, 모두가 나를 비웃을 거라고 생각해. 난 항상 최고의 모습을 보여야 해. 그렇지 않으면 친구들이 날 무시할 것 같아. 내 자신이 너무 싫어.",GPT
해야 한다' 진술,추가,"[여자/15세]
--- 
아침부터 숨이 찼지만, 지각하면 안 되니까 빨리 학교에 가야 해. 늘 생산적이어야 하고 완벽해야 하는데 이러다 지각할까봐 걱정돼. 선생님께 이런 증상 얘기하면 제가 잘못된 학생으로 보이지 않을까 걱정돼.",Claude
해야 한다' 진술,일반,"[여자/15세]
---
중2때부터 자해를 해왔어요. 처음엔 약속했지만, 자꾸 다시 하게 되더라고요. 이제는 습관이 돼서 충동적으로라도 해야 할 것 같아요. 내가 피를 보고 싶어 해결책이 없어요.",CLAUDE
감정적 추론,일반,"[여자/15]  
---  
체육 시간에 달리다가 친구들 앞에서 넘어졌어요. 웃음이 나오는 상황인데도, 순간 너무 창피했어요. 누가 보겠지 싶어서 더 부끄러웠고, 다음에도 이런 일 생길까 봐 걱정돼요.",GPT
감정적 추론,일반,"[여자/16세]
---
방과 후, 텅 빈 교실.  모두 즐거워 보이는데 나만 이렇게 힘든가.  아무도 내 마음을 이해 못해.  웃는 얼굴 뒤에 가려진 슬픔은 아무도 모르겠지.  나만 혼자인 기분이야.  다들 행복해 보이는데 난 왜 이럴까.
",GEMINI
감정적 추론,일반,"[여자/15세]
---
친구들 앞에 나서면 온몸이 떨려요. 발표 준비를 해도 막상 시작하면 말이 않나오고 눈물이 나요. 왜 나만 이렇게 약할까요? 다들 자신 있게 행동하는데 나는 계속 실수하고 있어요.",CLAUDE
감정적 추론,일반,"[여자/16세]
---
시험을 망쳤어.  내 잘못이야.  다 틀린 것 같아.  선생님 눈치도 보이고, 친구들이 뭐라고 할까봐 두려워.  아무리 노력해도 소용없어.  나는 항상 이렇게 실수하고,  결국엔 모두에게 실망을 안겨줄 거야.  내가 싫어.
",GEMINI
감정적 추론,일반,"[여자/15세]
---
전학와서 조별수업하면 싫은 애들한테 욕먹어요. 다들 저만 괴롭리는 게 분명해요. 제가 반응하면 주변애들이 저를 건방지다고 생각하겠죠. 이런 상황이 언제나 반복되니 정말 포기하고 싶어요.",CLAUDE
감정적 추론,일반,"[여자/16]  
---  
친구들이 나를 슬쩍 무시하는 것 같아. 예전에는 나랑 잘 지냈던 애들도, 이제는 나와 떨어져서만 행동해. 내가 이쁘다고 하면 저들끼리 소곤거리며 웃고, 그 모습이 너무 아프다. 이젠 학교 가는 게 힘들어.",GPT
감정적 추론,일반,"[여자/16세]
---
너무 하고 싶은 일이 있지만, 그게 나에게 너무 힘들 것 같아. 내가 그 일을 하다가 나중에 후회하면 어쩌지? 그냥 쉬운 길을 가는 게 나을지도 모르겠어.",CLAUDE
감정적 추론,일반,"[여자/15세]  
---  
체육 시간에 함께하는 여학생이 너무 싫어요. 계속 신경 쓰이고, 그 애가 있는 이유로 운동하는 게 어렵고 친구들은 다 그 애와 친해 보여서 물어보기도 힘들어요. 정말 스트레스입니다.",GPT
감정적 추론,일반,"[여자/15세]
---
내년에 새로운 학교에 갈 때, 혹시 예전 친구들과 또 다른 다툼이 일어나지 않을까 두렵습니다. 그래서 혼자 걱정하며 새로운 환경에 적응할 수 있을지 계속 염려하고 있습니다.",CLAUDE
감정적 추론,일반,"[남자/17세]  
---  
인터넷에서 친구들이 걱정 없이 키를 자랑하는 걸 보니, 나만 작아질 것 같아 불안해. 헬스장에 가도 나보다 더 큰 애들만 보이고, 나의 목표는 점점 멀어지는 기분이야.",GPT
감정적 추론,일반,"[여자/15]  
---  
친구들 사이에서 자꾸 무시당하는 것 같아요. 언제까지 이렇게 불행할까요? 아버지께서도 저를 이해하지 못하는 것 같아서 힘들어요. 그냥 빨리 성인이 되고 싶어요. 세상에서 저만 외로워요.",GPT
감정적 추론,일반,"[여자/16세]
---
짝사랑하는 수현이에게 고백할까 말까 고민이야.  내가 먼저 번호를 물어본다는 건 이상하게 보일까 봐 걱정돼.  설령 번호를 알게 된다고 해도,  수현이가 나에게 먼저 연락할 리 없잖아.  차라리 포기하는 게 나을까?
",GEMINI
감정적 추론,일반,"[여자/15]
---
친구 수진이랑 싸웠다.  내가 실수했는데, 수진이는 엄청 화내면서 소리 질렀다.  다들 쳐다봤다.  내가 뭘 잘못했는지 모르겠다.  수진이가 나 싫어하는 것 같다.  내가 뭘 해도 맘에 안 들 거 같다.  결국 혼자 점심 먹었다.  나 혼자만 밥 먹는 게 너무 싫다.
",GEMINI
감정적 추론,일반,"[여자/고2]
---
가만히 있으면 늘 외롭고, 어딜 가도 소외감이 드네요. 친구들도 저만 피하는 것 같아요. 아무도 날 이해해 주지 않는 것 같아 너무 힘들어요.",CLAUDE
감정적 추론,일반,"[여자/17]  
---  
고등학교에 진학한 나는 그와 떨어져 있는 시간이 두렵다. 이제 매일 만날 수 없고, 주말에도 힘들 텐데, 어떻게 이 관계가 계속될 수 있을까? 멀어지면 사랑도 끝날 것 같아 불안하다.",GPT
감정적 추론,일반,"[남자/17세]
---
소현이가 며칠째 나랑 말을 안 해.  내가 실수한 게 있나 싶어.  아마 내가 너무 둔했던 거겠지.  소현이 표정이 안 좋아 보였는데, 그냥 넘겼어.  다 내 잘못이야.  내가 더 잘했어야 했는데.  소현이가 나를 싫어하는 걸까?  이제 친구도 잃는 건가.
",GEMINI
감정적 추론,일반,"[여자/15]
---
아침마다 학교 가기가 힘들어요. 수업은 지루하고, 성적은 나쁘기만 해요. 엄마는 날 이해하지 못하고 계속 잔소리를 해요. 이러다 견디기 힘들어져서 언젠가는 정말 죽고 싶어질지도 몰라요.",CLAUDE
감정적 추론,일반,"[여자/15세]
---
내가 전학을 가려고 했는데, 새 학교에 자리가 없다고 합니다. 이제 어떻게 되는 걸까? 전학 수속을 밟았는데, 새 학교에 안 들어갈 수도 있다니 너무 걱정돼요. 다시 원래 학교로 가야 할지도 모르겠네요.",CLAUDE
감정적 추론,일반,"[여자/15]  
---  
수업 중 갑자기 질문을 받았는데 답이 생각나지 않았다. 머릿속이 하얘지고, 이후로 어떤 것도 하기 싫어졌다. 왜 나는 늘 이런 기분일까? 모든 게 너무 짜증난다.",GPT
감정적 추론,일반,"[여자/16]  
---  
밤마다 반복되는 악몽이 내 마음을 괴롭혀. 엄마가 늦게 들어오면 누군가 내 방에 들어오는 것 같아. 친구들에게 이야기를 해도 이해 못할까 두려워. 또 나는 혼자서 괴로운 감정을 짊어져야 하는 걸까.",GPT
감정적 추론,일반,"[여자/15세]
---
내 생일이었지만, 내 가장 친한 친구는 축하해 주지 않았어. 이런 점들이 계속 신경 쓰여서 걱정돼. 다른 친구들도 그냥 짧게 인사만 하고 갔어. 내가 속이 좁은 걸까?",CLAUDE
감정적 추론,일반,"[여자/18]  
---  
친구와의 카페에서 수다를 떨던 중, “내가 이런 고민을 할 만큼 애인데, 또 누가 나를 이해해줄까?”라는 생각이 머리를 스쳤다. 혹시 연락하면 “그런 걸로?”라고 반응할까 봐 두렵다.",GPT
감정적 추론,일반,"[여자/15세]
---
소문이 퍼지겠지만, 고백하지 않으면 영원히 후회할 것 같아. 전학가면 완전히 연락이 끊길 테니 차이면 괜찮지 않을 것 같아. 못해도 고백해볼 걸 그랬어.",CLAUDE
감정적 추론,일반,"[여자/14]  
---  
어제 친구들과 함께 놀다가 갑자기 어떤 남자애가 내게 이유 없이 툭 차더라고. 너무 놀래서 이상한 기분이야. 벌써 두 번이나 맞은 것 같아서 학교에 가기 무서워. 친구들은 나를 괜찮다고 하지만...",GPT
감정적 추론,일반,"[여자/15세]
---
새로운 학교에 왔지만, 모두가 이미 친구를 사귀고 있어 보입니다. 저 혼자서만 외롭고 소외된 것 같아요. 주위 친구들이 저와 다르게 행복해 보여서 서운하고 허무합니다.",CLAUDE
감정적 추론,일반,"[여자/15세]
---
갑자기 친구들이 날 무시하는 것 같아요. 뭘 잘못했는지 도무지 모르겠어요. 아무리 생각해도 저한테 잘못한 것이 없는데... 모두에게 그랬던 것처럼 항상 잘해왔는데 이렇게 변할 줄은 몰랐어요. 정말 이해할 수가 없어요.",CLAUDE
감정적 추론,일반,"[여자/17세]  
---  
친구들과의 대화 중, 이태원 사건의 뉴스가 언급되었다. 영상이 떠올라 가슴이 벌렁거렸다. 손이 떨리고 머릿속에서 그 장면이 계속 맴도는 느낌을 감당할 자신이 없었다. 어떻게 해야 할까?",GPT
감정적 추론,일반,"[여자/17]  
---  
길을 가다가 동아리 선배와 마주쳤는데, 말할 타이밍을 놓쳐서 찝찝한 기분이 들어. 내일 합격 발표가 있는데, 이미 시작부터 안 좋은 인상을 남길까 걱정돼. 어떻게 사과해야 할지 모르겠어.",GPT
감정적 추론,일반,"[여자/16세]
---
시험 성적표를 받았다.  내 점수만 봐도 숨이 턱 막힌다.  이대로라면 원하는 고등학교는 갈 수 없을 거야.  결국 난 실패할 거고, 인생도 망칠 거다.  아무것도 잘 될 리 없어.  죽고 싶다는 생각까지 든다.
",GEMINI
감정적 추론,일반,"[남자/16세]
---
짝꿍 민지가 왤케 차가운 거지? 문자로는 재밌게 얘기했는데…  내가 뭔가 잘못한 건가?  다른 애들이랑은 잘 지내던데…  나만 싫어하는 건 아닐까?  아, 괜히 혼자 겁먹고 있는 건가?  말 걸어야 하나?  망설이다가 또 기회를 놓치겠지.
",GEMINI
감정적 추론,일반,"[여자/16세]
---
점심시간, A랑 웃으며 이야기하는 B를 보니 왠지 모르게 배신감이 들었다.  내가 먼저 다가가 말을 걸어도, B는 시큰둥했다.  분명 나를 싫어하는 거야.  내가 부족해서 그런 거겠지.  혼자 남겨진 기분에 점심도 제대로 못 먹었다.  모두 나를 싫어하는 것 같아.
",GEMINI
감정적 추론,일반,"[여자/15세]
---
다들 힘들어하는데 왜 나만 이렇게 힘들까 싶어요. 아무리 노력해도 스트레스가 풀리지 않아요. 가족과 친구들도 내 고민을 모르는 것 같아 외롭기만 해요. 오늘도 밤늦게까지 잠들기 힘들어요.",CLAUDE
감정적 추론,일반,"[여자/17세]
---
친구가 싸움 영상을 보여줬어.  피투성이 얼굴, 울부짖는 소리…  너무 끔찍해서 밤새도록 잠 못 이뤘어.  내가 저 자리에 있었더라면 어땠을까, 계속 그 생각만 나.  내가 뭘 잘못했기에 이런 끔찍한 걸 봐야 하는 걸까.  다시는 평화롭지 못할 것 같아.
",GEMINI
감정적 추론,일반,"[여자/16세]
---
요새 항상 우울하고 공허해. 아니면 친구들과 어울리다가도 갑자기 외로워지곤 해. 내가 문제인가 싶어 불안해지고 다른 사람들의 시선이 신경 쓰여. 이런 내 마음을 누가 이해해줄까?",CLAUDE
감정적 추론,일반,"[여자/16세]
---
친구들이 내 그림 실력을 깎아내려.  내 그림이 정말 못 그린 건가?  다들 잘 그리는데 나만 뒤처지는 것 같아.  전시회에 내 그림을 낼 자신이 없어.  아무도 내 그림을 좋아하지 않을 거야.  망했어.  포기해야겠어.
",GEMINI
감정적 추론,일반,"[남자/15세]
---
학교에 가도 친구들이랑 어울리기 힘들어. 나는 늘 혼자 있게 되고 다른 애들이 나를 피하는 것 같아. 롯데월드에 가기로 했지만 혼자 가게 될지도 모르겠어. 아무도 나와 함께 가지 않을 거야.",CLAUDE
감정적 추론,일반,"[여자/15세]
---
내가 그 애에게 고백했지만, 그 애는 나를 친구로만 생각한다고 말했다. 하지만 그 애는 여전히 나에게 잘해주고 자주 연락한다. 다른 사람들도 우리가 사귀는 것 같다고 말한다. 정말 도대체 무슨 일이지?",CLAUDE
감정적 추론,일반,"[여자/17]  
---  
대학교 진학 후, 한 친구가 예전의 불화 상대와 잘 지내는 걸 봤다. 나는 그 친구와의 거리감이 느껴져서 불안하고 서운하다. 혹시 나까지도 잃을까 두려워, 내 감정을 숨기고만 있다.",GPT
감정적 추론,일반,"[여자/15세]
---
혼자 학교 가는 게 무서워요. 친구들이 없어 보일 것 같아 걱정돼. 혼자라니 너무 불안하고 두려워요. 다들 저를 이상하게 볼 거라고 생각하니 자존감이 바닥이 되네요.",CLAUDE
감정적 추론,일반,"[여자/15세]
---
복도에서 아이들 웃음소리가 들렸다.  내 이야기를 하고 비웃는 것 같았다.  점심시간, 혼자 밥 먹는 게 더 편하다.  모두 나를 쳐다보는 것 같아.  숨 막히는 기분이다.  집에 가고 싶다.  내가 뭘 잘못한 걸까?
",GEMINI
감정적 추론,일반,"[여자/16세]
---
작년에 친구와 불화가 생겼는데, 나는 그저 방관만 했다. 지금이라도 화해하고 싶지만, 친구가 나를 거절할까 두렵다. 내가 그때 더 적극적으로 사과했어야 했는데, 이제는 기회를 놓치지 않을까 걱정 된다.",CLAUDE
감정적 추론,일반,"[여자/16세]
---
어제, 소현이가 먼저 말 걸었는데 내가 피했어.  혹시 내가 먼저 다가가지 않으면 소현이가 다시 나를 멀리할까 봐.  내가 괜히 먼저 피한 거 같아서 후회돼.  소현이가 나 싫어하는 건 아닐까?  다시는 안 그럴 거야.
",GEMINI
감정적 추론,일반,"[여자/16]  
---  
요즘 주변은 모두 학원을 다니는데, 나는 그냥 집에서 시간을 보내고 있어요. 그리고 기말 준비도 제대로 못하고, 내 미래가 정말 위태로운 것 같아요. 어떻게 하면 좋을지 모르겠어요.",GPT
감정적 추론,일반,"[여자/15]
---
친구 수진이가 요즘 내 연락을 잘 안 받아.  내가 잘못한 건가?  예전처럼 웃으며 인사하는 모습이 그리워.  혹시 내가 싫어진 걸까?  아무래도 내가 부족한 것 같아.  점점 멀어지는 기분에 답답해.
",GEMINI
감정적 추론,일반,"[여자/15세]
---
어둠 속에서 숨 막히는 것 같아.  심장이 쿵쾅거리고, 곧 죽을 것 같아.  친구들이 웃는 모습도,  선생님의 목소리도 다 무서워.  내가 잘못한 건 아닌데,  모두 나를 싫어할 것 같아.  숨 쉬기조차 힘들어.
",GEMINI
감정적 추론,일반,"[여자/15세]  
---  
기숙사에서 공부하려니 과연 따라갈 수 있을지 걱정이 커요. 중학교 때는 느슨하게 보냈는데, 인서울 대학 화학과는 꿈에 그치지 않을까요? 시작이 막막하게 느껴져요.",GPT
감정적 추론,일반,"[여자/16세]
---
첫 등교일, 혼자 앉아있으면 너무 눈에 띌까 봐 걱정된다. 옆자리에 누군가 앉아달라고 말하고 싶지만, 그냥 괜찮은지 물어보면 귀찮다고 생각할까 봐 망설여진다. 어떻게 하면 반장이 될 수 있을지도 모르겠다.",CLAUDE
감정적 추론,일반,"[여자/17세]
---
선배님이 오늘 물놀이를 갔다고 생각하니 아쉽다. 내가 늘 함께하고 싶었지만, 선배님에게 부담만 줄까 봐 망설여왔다. 이제 선배님이 저랑 놀아주실 기회는 없겠지...",CLAUDE
